Number,utmeasting,utmnorthing,length,in,,Start to End,Illustrator Distance
75,450134.39,4057986.94,11.08,0.25160946,0.25160946,10.83,0.26
92,450345.58,4058096.43,10.04,0.227992688,0.227992688,9.95,0.24
139,450606.39,4058071.53,6.01,0.136477695,0.136477695,6,0.14
49,450073.19,4058547.84,3.85,0.087427475,0.087427475,3.8,0.09
56,450254.71,4058297.39,2.93,0.066535715,0.066535715,2.86,0.07
82,450262.68,4057858.98,1.58,0.035879327,0.035879327,1.56,0.04
48,450077.46,4058553.19,1.56,0.035425159,0.035425159,1.41,0.03
1,449509.12,4060184.16,12.67,0.287715872,0.287715872,,
6,449339.4,4058186.82,84.38,1.916137749,1.916137749,,
7,449347.16,4058192.54,59.67,1.355012319,1.355012319,,
8,449391.24,4058146.32,78.54,1.783520489,1.783520489,,
9,449430.4,4058113.84,13.38,0.303838861,0.303838861,,
14,449628.32,4058256.42,94.07,2.136182485,2.136182485,,
15,449463.86,4058178.75,153.33,3.481884346,3.481884346,,
16,449430.04,4058044.77,82.81,1.880485506,1.880485506,,
17,449487.27,4058034,20.41,0.463479159,0.463479159,,
18,449592.01,4058286.45,33.19,0.753692959,0.753692959,,
19,449639.51,4058250.26,47.29,1.073881893,1.073881893,,
23,449999.71,4058033.76,123.32,2.80040421,2.80040421,,
24,449999.79,4058033.64,80.6,1.830299865,1.830299865,,
25,450041.82,4058173.23,230.61,5.236792206,5.236792206,,
35,450185.59,4058168.15,148.46,3.371294267,3.371294267,,
36,450183.32,4058143.31,118.38,2.688224541,2.688224541,,
52,450296.01,4058409.94,107.79,2.447742214,2.447742214,,
55,450248.62,4058304.11,507.5,11.52453079,11.52453079,,
64,450198.38,4057882.6,8.81,0.200061313,0.200061313,,
69,450132.84,4057842.07,248.68,5.647133628,5.647133628,,
78,450225.71,4058037.91,54.71,1.242378481,1.242378481,,
80,450174.09,4058004.63,26.29,0.597004757,0.597004757,,
84,450271.86,4057860.28,83.94,1.906146038,1.906146038,,
100,450314.09,4057970.34,62.71,1.424045962,1.424045962,,
105,450318.66,4057914.09,167,3.792308653,3.792308653,,
107,450317.91,4057861.07,96.46,2.190455645,2.190455645,,
108,450337.25,4057846.98,88.34,2.006063152,2.006063152,,
153,450517.08,4058558.96,252.52,5.734334018,5.734334018,,
